id,name,code,operating_mic,country,currency,virtual_exchange,timezone,working_days,open,close,open_utc,close_utc
1,USA Stocks,US,,237,141,US,America/New_York,"Mon,Tue,Wed,Thu,Fri",09:30:00,16:00:00,14:30:00,21:00:00
2,NASDAQ,NASDAQ,XNAS,237,141,US,America/New_York,"Mon,Tue,Wed,Thu,Fri",09:30:00,16:00:00,14:30:00,21:00:00
3,New York Stock Exchange,NYSE,XNYS,237,141,US,America/New_York,"Mon,Tue,Wed,Thu,Fri",09:30:00,16:00:00,14:30:00,21:00:00
4,Cboe BZX U.S. Equities Exchange,BATS,BATS,237,141,US,America/New_York,"Mon,Tue,Wed,Thu,Fri",09:30:00,16:00:00,14:30:00,21:00:00
5,NYSE MKT,NYSE MKT,XASE,237,141,US,America/New_York,"Mon,Tue,Wed,Thu,Fri",09:30:00,16:00:00,14:30:00,21:00:00
6,NYSE ARCA,NYSE ARCA,ARCX,237,141,US,America/New_York,"Mon,Tue,Wed,Thu,Fri",09:30:00,16:00:00,14:30:00,21:00:00
7,London Exchange,LSE,XLON,235,47,,Europe/London,"Mon,Tue,Wed,Thu,Fri",08:00:00,16:30:00,08:00:00,16:30:00
8,NEO Exchange,NEO,NEOE,41,27,,America/Toronto,"Mon,Tue,Wed,Thu,Fri",09:30:00,16:00:00,14:30:00,21:00:00
9,TSX Venture Exchange,V,XTSX,41,27,,America/Toronto,"Mon,Tue,Wed,Thu,Fri",09:30:00,16:00:00,14:30:00,21:00:00
10,Toronto Exchange,TO,XTSE,41,27,,America/Toronto,"Mon,Tue,Wed,Thu,Fri",09:30:00,16:00:00,14:30:00,21:00:00
11,Germany Stocks,DE,,84,44,DE,Europe/Berlin,"Mon,Tue,Wed,Thu,Fri",09:00:00,17:30:00,08:00:00,16:30:00
12,Berlin Exchange,BE,XBER,84,44,,Europe/Berlin,"Mon,Tue,Wed,Thu,Fri",08:00:00,20:00:00,07:00:00,19:00:00
13,Hamburg Exchange,HM,XHAM,84,44,,Europe/Berlin,"Mon,Tue,Wed,Thu,Fri",08:00:00,20:00:00,07:00:00,19:00:00
14,XETRA Exchange,XETRA,XETR,84,44,,Europe/Berlin,"Mon,Tue,Wed,Thu,Fri",09:00:00,17:30:00,08:00:00,16:30:00
15,Dusseldorf Exchange,DU,XDUS,84,44,,Europe/Berlin,"Mon,Tue,Wed,Thu,Fri",08:00:00,20:00:00,07:00:00,19:00:00
16,Munich Exchange,MU,XMUN,84,44,,Europe/Berlin,"Mon,Tue,Wed,Thu,Fri",08:00:00,20:00:00,07:00:00,19:00:00
17,Hanover Exchange,HA,XHAN,84,44,,Europe/Berlin,"Mon,Tue,Wed,Thu,Fri",08:00:00,20:00:00,07:00:00,19:00:00
18,Frankfurt Exchange,F,XFRA,84,44,,Europe/Berlin,"Mon,Tue,Wed,Thu,Fri",08:00:00,22:00:00,07:00:00,21:00:00
19,Stuttgart Exchange,STU,XSTU,84,44,,Europe/Berlin,"Mon,Tue,Wed,Thu,Fri",08:00:00,22:00:00,07:00:00,21:00:00
20,Vienna Exchange,VI,XWBO,15,44,,Europe/Vienna,"Mon,Tue,Wed,Thu,Fri",08:55:00,17:35:00,07:55:00,16:35:00
21,Luxembourg Stock Exchange,LU,XLUX,131,44,,Europe/Luxembourg,"Mon,Tue,Wed,Thu,Fri",09:00:00,17:30:00,08:00:00,16:30:00
22,Euronext Paris,PA,XPAR,77,44,,Europe/Paris,"Mon,Tue,Wed,Thu,Fri",09:00:00,17:30:00,08:00:00,16:30:00
23,Euronext Brussels,BR,XBRU,22,44,,Europe/Brussels,"Mon,Tue,Wed,Thu,Fri",09:00:00,17:30:00,08:00:00,16:30:00
24,Madrid Exchange,MC,BMEX,210,44,,Europe/Rome,"Mon,Tue,Wed,Thu,Fri",09:00:00,17:30:00,08:00:00,16:30:00
25,SIX Swiss Exchange,SW,XSWX,216,29,,Europe/Zurich,"Mon,Tue,Wed,Thu,Fri",09:00:00,17:30:00,08:00:00,16:30:00
26,Euronext Lisbon,LS,XLIS,179,44,,Europe/Lisbon,"Mon,Tue,Wed,Thu,Fri",09:00:00,17:30:00,09:00:00,17:30:00
27,Euronext Amsterdam,AS,XAMS,157,44,,Europe/Amsterdam,"Mon,Tue,Wed,Thu,Fri",09:00:00,17:40:00,08:00:00,16:40:00
28,Stockholm Exchange,ST,XSTO,215,120,,Europe/Stockholm,"Mon,Tue,Wed,Thu,Fri",09:00:00,17:30:00,08:00:00,16:30:00
29,Irish Exchange,IR,XDUB,108,44,,Europe/Dublin,"Mon,Tue,Wed,Thu,Fri",08:00:00,16:30:00,08:00:00,16:30:00
30,Copenhagen Exchange,CO,XCSE,61,38,,Europe/Copenhagen,"Mon,Tue,Wed,Thu,Fri",09:00:00,17:00:00,08:00:00,16:00:00
31,Oslo Stock Exchange,OL,XOSL,167,100,,Europe/Oslo,"Mon,Tue,Wed,Thu,Fri",09:00:00,17:30:00,08:00:00,16:30:00
32,Iceland Exchange,IC,XICE,103,64,,Atlantic/Reykjavik,"Mon,Tue,Wed,Thu,Fri",09:30:00,15:30:00,09:30:00,15:30:00
33,Helsinki Exchange,HE,XHEL,76,44,,Europe/Helsinki,"Mon,Tue,Wed,Thu,Fri",10:00:00,18:30:00,08:00:00,16:30:00
34,Malawi Stock Exchange,MSE,XMSW,134,93,,Africa/Blantyre,"Mon,Tue,Wed,Thu,Fri",09:00:00,15:00:00,07:00:00,13:00:00
35,Egyptian Exchange,EGX,NILX,66,41,,Africa/Cairo,"Mon,Tue,Wed,Thu,Sun",10:00:00,14:15:00,08:00:00,12:15:00
36,Botswana Stock Exchange ,XBOT,XBOT,30,24,,Africa/Gaborone,"Mon,Tue,Wed,Thu,Fri",10:00:00,14:00:00,08:00:00,12:00:00
37,Ghana Stock Exchange,GSE,XGHA,85,49,,Africa/Accra,"Mon,Tue,Wed,Thu,Fri",10:00:00,15:00:00,10:00:00,15:00:00
38,Regional Securities Exchange,BRVM,XBRV,55,151,,Africa/Abidjan,"Mon,Tue,Wed,Thu,Fri",09:45:00,14:00:00,09:45:00,14:00:00
39,Prague Stock Exchange ,PR,XPRA,60,36,,Europe/Prague,"Mon,Tue,Wed,Thu,Fri",09:00:00,16:10:00,08:00:00,15:10:00
40,Nairobi Securities Exchange,XNAI,XNAI,117,68,,Africa/Nairobi,"Mon,Tue,Wed,Thu,Fri",09:31:00,15:00:00,06:31:00,12:00:00
41,Casablanca Stock Exchange,BC,XCAS,151,83,,Africa/Casablanca,"Mon,Tue,Wed,Thu,Fri",09:30:00,15:20:00,08:30:00,14:20:00
42,Stock Exchange of Mauritius,SEM,XMAU,142,91,,Indian/Mauritius,"Mon,Tue,Wed,Thu,Fri",10:00:00,14:30:00,06:00:00,10:30:00
43,Nigerian Stock Exchange,XNSA,XNSA,162,98,,Africa/Lagos,"Mon,Tue,Wed,Thu,Fri",10:00:00,14:20:00,09:00:00,13:20:00
44,Rwanda Stock Exchange,RSE,RSEX,185,,,Africa/Kigali,"Mon,Tue,Wed,Thu,Fri",09:00:00,12:00:00,07:00:00,10:00:00
45,Dar es Salaam Stock Exchange,DSE,XDAR,220,138,,Africa/Dar_es_Salaam,"Mon,Tue,Wed,Thu,Fri",10:30:00,16:00:00,07:30:00,13:00:00
46,Uganda Securities Exchange,USE,XUGA,232,140,,Africa/Kampala,"Mon,Tue,Wed,Thu,Fri",10:00:00,12:00:00,07:00:00,09:00:00
47,Lusaka Stock Exchange,LUSE,XLUS,248,155,,Africa/Lusaka,"Mon,Tue,Wed,Thu,Fri",11:00:00,14:00:00,09:00:00,12:00:00
48,Tel Aviv Exchange,TA,XTAE,110,60,,Asia/Jerusalem,"Mon,Tue,Wed,Thu,Sun",09:45:00,17:25:00,07:45:00,15:25:00
49,Zimbabwe Stock Exchange,XZIM,XZIM,249,,,Africa/Harare,"Mon,Tue,Wed,Thu,Fri",09:30:00,13:00:00,07:30:00,11:00:00
50,Victoria Falls Stock Exchange,VFEX,VFEX,249,,,Africa/Harare,"Mon,Tue,Wed,Thu,Fri",09:30:00,13:00:00,07:30:00,11:00:00
51,KOSDAQ,KQ,XKOS,120,73,,Asia/Seoul,"Mon,Tue,Wed,Thu,Fri",09:00:00,15:30:00,00:00:00,06:30:00
52,Korea Stock Exchange,KO,XKRX,120,73,,Asia/Seoul,"Mon,Tue,Wed,Thu,Fri",09:00:00,15:30:00,00:00:00,06:30:00
53,Budapest Stock Exchange,BUD,XBUD,102,58,,Europe/Budapest,"Mon,Tue,Wed,Thu,Fri",09:00:00,17:00:00,08:00:00,16:00:00
54,Warsaw Stock Exchange,WAR,XWAR,178,109,,Europe/Warsaw,"Mon,Tue,Wed,Thu,Fri",09:00:00,17:00:00,08:00:00,16:00:00
55,Philippine Stock Exchange,PSE,XPHS,176,107,,Asia/Manila,"Mon,Tue,Wed,Thu,Fri",09:30:00,15:30:00,01:30:00,07:30:00
56,Chilean Stock Exchange,SN,XSGO,45,30,,America/Santiago,"Mon,Tue,Wed,Thu,Fri",09:30:00,16:00:00,12:30:00,19:00:00
57,Johannesburg Exchange,JSE,XJSE,207,154,,Africa/Johannesburg,"Mon,Tue,Wed,Thu,Fri",09:00:00,17:00:00,07:00:00,15:00:00
58,Jakarta Exchange,JK,XIDX,105,59,,Asia/Jakarta,"Mon,Tue,Wed,Thu,Fri",09:00:00,15:50:00,02:00:00,08:50:00
59,Thailand Exchange,BK,XBKK,221,130,,Asia/Bangkok,"Mon,Tue,Wed,Thu,Fri",10:00:00,16:30:00,03:00:00,09:30:00
60,Shanghai Exchange,SHG,XSHG,46,31,,Asia/Shanghai,"Mon,Tue,Wed,Thu,Fri",09:30:00,15:00:00,01:30:00,07:00:00
61,NSE (India),NSE,XNSE,104,61,,Asia/Calcutta,"Mon,Tue,Wed,Thu,Fri",09:15:00,15:30:00,03:45:00,10:00:00
62,Athens Exchange,AT,ASEX,87,44,,Europe/Athens,"Mon,Tue,Wed,Thu,Fri",10:15:00,17:20:00,08:15:00,15:20:00
63,Saudi Arabia Exchange,SR,XSAU,196,116,,Asia/Riyadh,"Mon,Tue,Wed,Thu,Sun",10:00:00,15:20:00,07:00:00,12:20:00
64,Shenzhen Exchange,SHE,XSHE,46,31,,Asia/Shanghai,"Mon,Tue,Wed,Thu,Fri",09:30:00,15:00:00,01:30:00,07:00:00
65,Karachi Stock Exchange,KAR,XKAR,169,108,,Asia/Karachi,"Mon,Tue,Wed,Thu,Fri",09:30:00,15:30:00,04:30:00,10:30:00
66,Australia Exchange,AU,XASX,14,8,,Australia/Sydney,"Mon,Tue,Wed,Thu,Fri",10:00:00,16:10:00,23:00:00,05:10:00
67,Colombo Stock Exchange,CM,XCOL,211,79,,Asia/Colombo,"Mon,Tue,Wed,Thu,Fri",10:30:00,14:30:00,05:00:00,09:00:00
68,Vietnam Stocks,VN,HSTC,242,146,,Asia/Ho_Chi_Minh,"Mon,Tue,Wed,Thu,Fri",09:00:00,15:00:00,02:00:00,08:00:00
69,Kuala Lumpur Exchange,KLSE,XKLS,135,95,,Asia/Kuala_Lumpur,"Mon,Tue,Wed,Thu,Fri",09:00:00,16:45:00,01:00:00,08:45:00
70,Buenos Aires Exchange,BA,XBUE,11,7,,America/Buenos_Aires,"Mon,Tue,Wed,Thu,Fri",11:00:00,17:00:00,14:00:00,20:00:00
71,Bucharest Stock Exchange,RO,XBSE,183,112,,Europe/Bucharest,"Mon,Tue,Wed,Thu,Fri",10:00:00,17:45:00,08:00:00,15:45:00
72,Sao Paolo Exchange,SA,BVMF,32,20,,America/Sao_Paulo,"Mon,Tue,Wed,Thu,Fri",10:00:00,18:00:00,13:00:00,21:00:00
73,Mexican Exchange,MX,XMEX,144,94,,America/Mexico_City,"Mon,Tue,Wed,Thu,Fri",08:30:00,15:00:00,14:30:00,21:00:00
74,Zagreb Stock Exchange,ZSE,XZAG,56,44,,Europe/Zagreb,"Mon,Tue,Wed,Thu,Fri",09:00:00,16:00:00,08:00:00,15:00:00
75,Taiwan OTC Exchange,TWO,ROCO,218,137,,Asia/Taipei,"Mon,Tue,Wed,Thu,Fri",09:00:00,13:30:00,01:00:00,05:30:00
76,MICEX Moscow Russia,MCX,,184,114,,Europe/Moscow,"Mon,Tue,Wed,Thu,Fri",10:00:00,23:50:00,07:00:00,20:50:00
77,Taiwan Exchange,TW,XTAI,218,137,,Asia/Taipei,"Mon,Tue,Wed,Thu,Fri",09:00:00,13:30:00,01:00:00,05:30:00
78,Bolsa de Valores de Lima,LIM,XLIM,175,105,,America/Lima,"Mon,Tue,Wed,Thu,Fri",08:30:00,14:52:00,13:30:00,19:52:00
79,Money Market Virtual Exchange,MONEY,,,,,Europe/Paris,"Mon,Tue,Wed,Thu,Fri",09:00:00,16:00:00,08:00:00,15:00:00
80,Europe Fund Virtual Exchange,EUFUND,,,44,,UTC,"Mon,Tue,Wed,Thu,Fri",00:00:00,00:00:00,00:00:00,00:00:00
81,Istanbul Stock Exchange,IS,XIST,228,135,,Europe/Istanbul,"Mon,Tue,Wed,Thu,Fri",10:00:00,18:00:00,07:00:00,15:00:00
82,FOREX,FOREX,CDSL,,,,UTC,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",00:00:00,23:59:00,00:00:00,23:59:00
83,Cryptocurrencies,CC,CRYP,,,,UTC,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",00:00:00,23:59:00,00:00:00,23:59:00
84,PINK,PINK,,237,141,US,America/New_York,"Mon,Tue,Wed,Thu,Fri",09:30:00,16:00:00,14:30:00,21:00:00
85,AMEX,AMEX,,237,141,US,America/New_York,"Mon,Tue,Wed,Thu,Fri",09:30:00,16:00:00,14:30:00,21:00:00
86,NMFQS,NMFQS,,237,141,US,America/New_York,"Mon,Tue,Wed,Thu,Fri",09:30:00,16:00:00,14:30:00,21:00:00
87,OTC,OTC,,237,141,US,America/New_York,"Mon,Tue,Wed,Thu,Fri",09:30:00,16:00:00,14:30:00,21:00:00
88,OTCQX,OTCQX,,237,141,US,America/New_York,"Mon,Tue,Wed,Thu,Fri",09:30:00,16:00:00,14:30:00,21:00:00
89,OTCQB,OTCQB,,237,141,US,America/New_York,"Mon,Tue,Wed,Thu,Fri",09:30:00,16:00:00,14:30:00,21:00:00
90,OTCMKTS,OTCMKTS,,237,141,US,America/New_York,"Mon,Tue,Wed,Thu,Fri",09:30:00,16:00:00,14:30:00,21:00:00
91,OTCGREY,OTCGREY,,237,141,US,America/New_York,"Mon,Tue,Wed,Thu,Fri",09:30:00,16:00:00,14:30:00,21:00:00
92,OTCCE,OTCCE,,237,141,US,America/New_York,"Mon,Tue,Wed,Thu,Fri",09:30:00,16:00:00,14:30:00,21:00:00
93,OTCBB,OTCBB,,237,141,US,America/New_York,"Mon,Tue,Wed,Thu,Fri",09:30:00,16:00:00,14:30:00,21:00:00