id,sector,industry_group,industry,sub_industry,description
10,Energy,null,null,null,null
15,Materials,null,null,null,null
20,Industrials,null,null,null,null
25,Consumer Discretionary,null,null,null,null
30,Consumer Staples,null,null,null,null
35,Health Care,null,null,null,null
40,Financials,null,null,null,null
45,Information Technology,null,null,null,null
50,Communication Services,null,null,null,null
55,Utilities,null,null,null,null
60,Real Estate,null,null,null,null
1010,Energy,Energy,null,null,null
1510,Materials,Materials,null,null,null
2010,Industrials,Capital Goods,null,null,null
2020,Industrials,Commercial  & Professional Services,null,null,null
2030,Industrials,Transportation,null,null,null
2510,Consumer Discretionary,Automobiles & Components,null,null,null
2520,Consumer Discretionary,Consumer Durables & Apparel,null,null,null
2530,Consumer Discretionary,Consumer Services,null,null,null
2550,Consumer Discretionary,Retailing,null,null,null
3010,Consumer Staples,Food & Staples Retailing,null,null,null
3020,Consumer Staples,"Food, Beverage & Tobacco",null,null,null
3030,Consumer Staples,Household & Personal Products,null,null,null
3510,Health Care,Health Care Equipment & Services,null,null,null
3520,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",null,null,null
4010,Financials,Banks,null,null,null
4020,Financials,Diversified Financials,null,null,null
4030,Financials,Insurance,null,null,null
4510,Information Technology,Software & Services,null,null,null
4520,Information Technology,Technology Hardware & Equipment,null,null,null
4530,Information Technology,Semiconductors & Semiconductor Equipment,null,null,null
5010,Communication Services,Telecommunication Services,null,null,null
5020,Communication Services,Media & Entertainment,null,null,null
5510,Utilities,Utilities,null,null,null
6010,Real Estate,Real Estate,null,null,null
6020,Real Estate,Real Estate Management & Development,null,null,null
101010,Energy,Energy,Energy Equipment & Services,null,null
101020,Energy,Energy,"Oil, Gas & Consumable Fuels",null,null
151010,Materials,Materials,Chemicals,null,null
151020,Materials,Materials,Construction Materials,null,null
151030,Materials,Materials,Containers & Packaging,null,null
151040,Materials,Materials,Metals & Mining,null,null
151050,Materials,Materials,Paper & Forest Products,null,null
201010,Industrials,Capital Goods,Aerospace & Defense,null,null
201020,Industrials,Capital Goods,Building Products,null,null
201030,Industrials,Capital Goods,Construction & Engineering,null,null
201040,Industrials,Capital Goods,Electrical Equipment,null,null
201050,Industrials,Capital Goods,Industrial Conglomerates,null,null
201060,Industrials,Capital Goods,Machinery,null,null
201070,Industrials,Capital Goods,Trading Companies & Distributors,null,null
202010,Industrials,Commercial  & Professional Services,Commercial Services & Supplies,null,null
202020,Industrials,Commercial  & Professional Services,Professional Services,null,null
203010,Industrials,Transportation,Air Freight & Logistics,null,null
203020,Industrials,Transportation,Airlines,null,null
203030,Industrials,Transportation,Marine,null,null
203040,Industrials,Transportation,Road & Rail,null,null
203050,Industrials,Transportation,Transportation Infrastructure,null,null
251010,Consumer Discretionary,Automobiles & Components,Auto Components,null,null
251020,Consumer Discretionary,Automobiles & Components,Automobiles,null,null
252010,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,null,null
252020,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,null,null
252030,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",null,null
253010,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",null,null
253020,Consumer Discretionary,Consumer Services,Diversified Consumer Services,null,null
255010,Consumer Discretionary,Retailing,Distributors,null,null
255020,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,null,null
255030,Consumer Discretionary,Retailing,Multiline Retail,null,null
255040,Consumer Discretionary,Retailing,Specialty Retail,null,null
301010,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,null,null
302010,Consumer Staples,"Food, Beverage & Tobacco",Beverages,null,null
302020,Consumer Staples,"Food, Beverage & Tobacco",Food Products,null,null
302030,Consumer Staples,"Food, Beverage & Tobacco",Tobacco,null,null
303010,Consumer Staples,Household & Personal Products,Household Products,null,null
303020,Consumer Staples,Household & Personal Products,Personal Products,null,null
351010,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,null,null
351020,Health Care,Health Care Equipment & Services,Health Care Providers & Services,null,null
351030,Health Care,Health Care Equipment & Services,Health Care Technology,null,null
352010,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,null,null
352020,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,null,null
352030,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,null,null
401010,Financials,Banks,Banks,null,null
401020,Financials,Banks,Thrifts & Mortgage Finance,null,null
402010,Financials,Diversified Financials,Diversified Financial Services,null,null
402020,Financials,Diversified Financials,Consumer Finance,null,null
402030,Financials,Diversified Financials,Capital Markets,null,null
402040,Financials,Diversified Financials,Mortgage Real Estate Investment Trusts (REITs),null,null
403010,Financials,Insurance,Insurance,null,null
451020,Information Technology,Software & Services,IT Services,null,null
451030,Information Technology,Software & Services,Software,null,null
452010,Information Technology,Technology Hardware & Equipment,Communications Equipment,null,null
452020,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals",null,null
452030,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",null,null
453010,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,null,null
501010,Communication Services,Telecommunication Services,Diversified Telecommunication Services,null,null
501020,Communication Services,Telecommunication Services,Wireless Telecommunication Services,null,null
502010,Communication Services,Media & Entertainment,Media,null,null
502020,Communication Services,Media & Entertainment,Entertainment,null,null
502030,Communication Services,Media & Entertainment,Interactive Media & Services,null,null
551010,Utilities,Utilities,Electric Utilities,null,null
551020,Utilities,Utilities,Gas Utilities,null,null
551030,Utilities,Utilities,Multi-Utilities,null,null
551040,Utilities,Utilities,Water Utilities,null,null
551050,Utilities,Utilities,Independent Power and Renewable Electricity Producers,null,null
601010,Real Estate,Real Estate,Diversified REITs,null,null
601020,Real Estate,Real Estate,Real Estate Management & Development,null,null
601025,Real Estate,Real Estate,Industrial REITs,null,null
601030,Real Estate,Real Estate,Hotel & Resort REITs,null,null
601040,Real Estate,Real Estate,Office REITs,null,null
601050,Real Estate,Real Estate,Health Care REITs,null,null
601060,Real Estate,Real Estate,Residential REITs,null,null
601070,Real Estate,Real Estate,Retail REITs,null,null
601080,Real Estate,Real Estate,Specialized REITs,null,null
602010,Real Estate,Real Estate Management & Development,Real Estate Management & Development,null,null
10101010,Energy,Energy,Energy Equipment & Services,Oil & Gas Drilling,Drilling contractors or owners of drilling rigs that contract their services for drilling wells
10101020,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,"Manufacturers of equipment, including drilling rigs and equipment, and providers of supplies and services to companies involved in the drilling, evaluation and completion of oil and gas wells."
10102010,Energy,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,"Integrated oil companies engaged in the exploration & production of oil and gas, as well as at least one other significant activity in either refining, marketing and transportation, or chemicals."
10102020,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,Companies engaged in the exploration and production of oil and gas not classified elsewhere.
10102030,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,"Companies engaged in the refining and marketing of oil, gas and/or refined products not classified in the Integrated Oil & Gas or Independent Power Producers & Energy Traders Sub-Industries."
10102040,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,"Companies engaged in the storage and/or transportation of oil, gas and/or refined products. Includes diversified midstream natural gas companies, oil and refined product pipelines, coal slurry pipelines and oil & gas shipping companies."
10102050,Energy,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,"Companies primarily involved in the production and mining of coal, related products and other consumable fuels related to the generation of energy.  Excludes companies primarily producing gases classified in the Industrial Gases sub-industry and companies primarily mining for metallurgical (coking) coal used for steel production."
15101010,Materials,Materials,Chemicals,Commodity Chemicals,"Companies that primarily produce industrial chemicals and basic chemicals. Including but not limited to plastics, synthetic fibers, films, commodity-based paints & pigments, explosives and petrochemicals. Excludes chemicalcompanies classified in the Diversified Chemicals, Fertilizers & Agricultural Chemicals, Industrial Gases, or Specialty Chemicals Sub-Industries."
15101020,Materials,Materials,Chemicals,Diversified Chemicals,"Manufacturers of a diversified range of chemical products not classified in the Industrial Gases, Commodity Chemicals, Specialty Chemicals or Fertilizers & Agricultural Chemicals Sub-Industries."
15101030,Materials,Materials,Chemicals,Fertilizers & Agricultural Chemicals,"Producers of fertilizers, pesticides, potash or other agriculture-related chemicals not classified elsewhere."
15101040,Materials,Materials,Chemicals,Industrial Gases,Manufacturers of industrial gases.
15101050,Materials,Materials,Chemicals,Specialty Chemicals,"Companies that primarily produce high value-added chemicals used in the manufacture of a wide variety of products, including but not limited to fine chemicals, additives, advanced polymers, adhesives, sealants and specialty paints, pigments and coatings."
15102010,Materials,Materials,Construction Materials,Construction Materials,"Manufacturers of construction materials including sand, clay, gypsum, lime, aggregates, cement, concrete and bricks. Other finished or semi-finished building materials are classified  in the Building Products Sub-Industry."
15103010,Materials,Materials,Containers & Packaging,Metal & Glass Containers,"Manufacturers of metal, glass or plastic containers. Includes corks and caps."
15103020,Materials,Materials,Containers & Packaging,Paper Packaging,Manufacturers of paper and cardboard containers and packaging.
15104010,Materials,Materials,Metals & Mining,Aluminum,"Producers of aluminum and related products, including companies that mine or process bauxite and companies that recycle aluminum to produce finished or semi-finished products. Excludes companies that primarily produce aluminum building materials classified in the Building Products Sub-Industry."
15104020,Materials,Materials,Metals & Mining,Diversified Metals & Mining,"Companies engaged in the diversified production or extraction of metals and minerals not classified elsewhere. Including, but not limited to, nonferrous metal mining (except bauxite), salt and borate mining, phosphate rock mining, and diversified mining operations. Excludes iron ore mining, classified in the Steel Sub-Industry, bauxite mining, classified in the Aluminum Sub-Industry, and coal mining, classified in either the Steel or Coal & Consumable Fuels Sub-Industries."
15104025,Materials,Materials,Metals & Mining,Copper,Companies involved primarily in copper ore mining. 
15104030,Materials,Materials,Metals & Mining,Gold,"Producers of gold and related products, including companies that mine or process gold and the South African finance houses which primarily invest in, but do not operate, gold mines."
15104040,Materials,Materials,Metals & Mining,Precious Metals & Minerals,Companies mining precious metals and minerals not classified in the Gold Sub-Industry. Includes companies primarily mining platinum.
15104045,Materials,Materials,Metals & Mining,Silver,Companies primarily mining silver. Excludes companies classified in the Gold or Precious Metals & Minerals Sub-Industries.
15104050,Materials,Materials,Metals & Mining,Steel,"Producers of iron and steel and related products, including metallurgical (coking) coal mining used for steel production."
15105010,Materials,Materials,Paper & Forest Products,Forest Products,Manufacturers of timber and related wood products. Includes lumber for the building industry.
15105020,Materials,Materials,Paper & Forest Products,Paper Products,Manufacturersof all grades of paper. Excludes companies specializing in paper packaging classified in the Paper Packaging Sub-Industry.
20101010,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,"Manufacturers of civil or military aerospace and defense equipment, parts or products. Includes defense electronics and space equipment."
20102010,Industrials,Capital Goods,Building Products,Building Products,Manufacturers of building components and home improvement products and equipment. Excludes lumber and plywood classified under Forest Products and cement and other materials classified in the Construction Materials Sub-Industry.
20103010,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering,Companies engaged in primarily non-residential construction. Includes civil engineering companies and large-scale contractors. Excludes companies classified in the Homebuilding Sub-Industry.
20104010,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment,"Companies that produce electric cables and wires, electrical components or equipment not classified in the Heavy Electrical Equipment Sub-Industry."
20104020,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,"Manufacturers of power-generating equipment and other heavy electrical equipment, including power turbines, heavy electrical machinery intended for fixed-use and large electrical systems. Excludes cables and wires, classified in the Electrical Components & Equipment Sub-Industry."
20105010,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,"Diversified industrial companies with business activities in three or more sectors, none of which contributes a majority of revenues. Stakes held are predominantly of a controlling nature and stake holders maintain an operational interest in the running of the subsidiaries."
20106010,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Trucks,"Manufacturers of heavy duty trucks, rolling machinery, earth-moving and construction equipment, and manufacturers of related parts. Includes non-military shipbuilding."
20106015,Industrials,Capital Goods,Machinery,Agricultural & Farm Machinery,"Companies manufacturing agricultural machinery, farm machinery, and their related parts. Includes machinery used for the production of crops and agricultural livestock, agricultural tractors, planting and fertilizing machinery, fertilizer and chemical application equipment, and grain dryers and blowers."
20106020,Industrials,Capital Goods,Machinery,Industrial Machinery,"Manufacturers of industrial machinery and industrial components. Includes companies that manufacture presses, machine tools, compressors, pollution control equipment, elevators, escalators, insulators, pumps, roller bearings and other metal fabrications."
20107010,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors,Trading companies and other distributors of industrial equipment and products.
20201010,Industrials,Commercial  & Professional Services,Commercial Services & Supplies,Commercial Printing,Companies providing commercial printing services. Includes printers primarily serving the media industry.
20201050,Industrials,Commercial  & Professional Services,Commercial Services & Supplies,Environmental & Facilities Services,"Companies providing environmental and facilities maintenance services. Includes waste management, facilities management and pollution control services.  Excludes large-scale water treatment systems classified in the Water Utilities Sub-Industry."
20201060,Industrials,Commercial  & Professional Services,Commercial Services & Supplies,Office Services & Supplies,Providers of office services and manufacturers of office supplies and equipment not classified elsewhere.
20201070,Industrials,Commercial  & Professional Services,Commercial Services & Supplies,Diversified Support Services,"Companies primarily providing labor oriented support services to businesses and governments.  Includes commercial cleaning services, dining & catering services, equipment repair services, industrial maintenance services, industrial auctioneers, storage & warehousing, transaction services, uniform rental services, and other business support services."
20201080,Industrials,Commercial  & Professional Services,Commercial Services & Supplies,Security & Alarm Services,"Companies providing security and protection services to business and governments. Includes companies providing services such as correctional facilities, security & alarm services, armored transportation & guarding.  Excludes companies providing security software classified under the Systems Software Sub-Industry and home security services classified under the Specialized Consumer Services Sub-Industry. Also excludes companies manufacturing security system equipment classified under the Electronic Equipment & Instruments Sub-Industry. "
20202010,Industrials,Commercial  & Professional Services,Professional Services,Human Resource & Employment Services,"Companies providing business support services relating to human capital management. Includes employment agencies, employee training, payroll & benefit support services, retirement support services and temporary agencies."
20202020,Industrials,Commercial  & Professional Services,Professional Services,Research & Consulting Services,"Companies primarily providing research and consulting services to businesses and governments not classified elsewhere.  Includes companies involved in management consulting services, architectural design, business information or scientific research, marketing, and testing & certification services. Excludes companies providing information technology consulting services classified in the IT Consulting & Other Services Sub-Industry."
20301010,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics,"Companies providing air freight transportation, courier and logistics services, including package and mail delivery and customs agents. Excludes those companies classified in the Airlines, Marine or Trucking Sub-Industries."
20302010,Industrials,Transportation,Airlines,Airlines,Companies providing primarily passenger air transportation.
20303010,Industrials,Transportation,Marine,Marine,"Companies providing goods or passenger maritime transportation. Excludes cruise-ships classified in the Hotels, Resorts & Cruise Lines Sub-Industry."
20304010,Industrials,Transportation,Road & Rail,Railroads,Companies providing primarily goods and passenger rail  transportation.
20304020,Industrials,Transportation,Road & Rail,Trucking,Companies providing primarily goods and passenger land transportation. Includes vehicle rental and taxi companies.
20305010,Industrials,Transportation,Transportation Infrastructure,Airport Services,Operators of airports and companies providing related services.
20305020,Industrials,Transportation,Transportation Infrastructure,Highways & Railtracks,"Owners and operators of roads, tunnels and railtracks."
20305030,Industrials,Transportation,Transportation Infrastructure,Marine Ports & Services,Owners and operators of marine ports and related services.
25101010,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment,Manufacturers of parts and accessories for  automobiles and motorcycles. Excludes companies classified in the Tires & Rubber Sub-Industry.
25101020,Consumer Discretionary,Automobiles & Components,Auto Components,Tires & Rubber,Manufacturers of tires and rubber.
25102010,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers,Companies that produce mainly passenger automobiles and light trucks. Excludes companies producing mainly motorcycles and three-wheelers classified in the Motorcycle Manufacturers Sub-Industry and heavy duty trucks classified in the Construction Machinery & Heavy Trucks Sub-Industry.
25102020,Consumer Discretionary,Automobiles & Components,Automobiles,Motorcycle Manufacturers,"Companies that produce motorcycles, scooters or three-wheelers. Excludes bicycles classified in the Leisure Products Sub-Industry. "
25201010,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Consumer Electronics,"Manufacturers of consumer electronics products including TVs, home audio equipment, game consoles, digital cameras, and related products. Excludes personal home computer manufacturers classified in the Technology Hardware, Storage & Peripherals Sub-Industry, and electric household appliances classified in the Household Appliances Sub-Industry."
25201020,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Home Furnishings,"Manufacturers of soft home furnishings or furniture, including upholstery, carpets and wall-coverings."
25201030,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding,Residential construction companies. Includes manufacturers of prefabricated houses and semi-fixed manufactured homes.
25201040,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Household Appliances,"Manufacturers of electric household appliances and related products.  Includes manufacturers of power and hand tools, including garden improvement tools.  Excludes TVs and other audio and video products classified in the Consumer Electronics Sub-Industry and personal computers classified in the Technology Hardware, Storage & Peripherals Sub-Industry."
25201050,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Housewares & Specialties,"Manufacturers of durable household products, including cutlery, cookware, glassware, crystal, silverware, utensils, kitchenware and consumer specialties not classified elsewhere."
25202010,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products,"Manufacturers of leisure products and equipment includingsports equipment, bicycles and toys."
25203010,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","Manufacturers of apparel, accessories & luxury goods. Includes companies primarily producing designer handbags, wallets, luggage, jewelry and watches. Excludes shoes classified in the Footwear Sub-Industry."
25203020,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",Footwear,Manufacturers of footwear. Includes sport and leather shoes.
25203030,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",Textiles,"Manufacturers of textile and related products not classified in the Apparel, Accessories & Luxury Goods, Footwear or Home Furnishings Sub-Industries."
25301010,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming,Owners and operators of casinos and gaming facilities. Includes companies providing lottery and betting services.
25301020,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines","Owners and operators of hotels, resorts and cruise-ships. Includes travel agencies, tour operators and related services not classified elsewhere . Excludes casino-hotels classified in the Casinos & Gaming Sub-Industry."
25301030,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Leisure Facilities,"Owners and operators of leisure facilities, including sport and fitness centers, stadiums, golf courses and amusement parks not classified in the Movies & Entertainment Sub-Industry."
25301040,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants,"Owners and operators of restaurants, bars, pubs, fast-food or take-out facilities. Includes companies that provide food catering services."
25302010,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services,"Companies providing educational services, either on-line or through conventional teaching methods. Includes, private universities, correspondence teaching, providers of educational seminars, educational materials and technical education. Excludes companies providing employee education programs classified in the Human Resources & Employment Services Sub-Industry"
25302020,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services,"Companies providing consumer services not classified elsewhere.  Includes residential services, home security, legal services, personal services, renovation & interior design services, consumer auctions and wedding & funeral services."
25501010,Consumer Discretionary,Retailing,Distributors,Distributors,Distributors and wholesalers of general merchandise not classified elsewhere. Includes vehicle distributors.
25502020,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,"Companies  providing  retail  services  primarily  on  the Internet, through mail order, and TV home shopping retailers. Also includes companies providing online marketplaces for consumer products and services."
25503010,Consumer Discretionary,Retailing,Multiline Retail,Department Stores,Owners and operators of department stores.
